"rule_id","benchmark","device_type","control_name","cis_level","description","expected_values","validation_logic","remediation_steps","severity","is_active","references","audit","rationale","impact"
"2.1.8","CIS FortiGate 7.4.x Benchmark","FortiGate","Disable static keys for TLS","Level 2","Disable support for static keys on TLS sessions terminating on the FortiGate

Default Value:
ssl-static-key-ciphers is enabled","","","CLI:
config system global
set ssl-static-key-ciphers disable
end","","true","1. https://docs.fortinet.com/document/fortigate/7.4.5/cli-
reference/339914554/config-system-global","CLI:
config system global
get
Validate that ssl-static-key-ciphers disabled.","Prevent TLS sessions terminating on the FortiGate from using static SSL keys",""
"2.1.9","CIS FortiGate 7.4.x Benchmark","FortiGate","Enable Global Strong Encryption","Level 2","Enable FortiOS to only use strong encryption and allow only strong ciphers for
communication

Default Value:
strong-crypto is enabled by default.","","","CLI:
config system global
set strong-crypto enable
end","","true","1. https://docs.fortinet.com/document/fortigate/7.4.5/cli-
reference/339914554/config-system-global","CLI:
config system global
get
Validate strong-crypto is enabled.","",""
"2.1.10","CIS FortiGate 7.4.x Benchmark","FortiGate","Ensure management GUI listens on secure TLS version","Level 1","As we move towards better encryption capabilities, we need to also ensure GUI access
is properly secured. TLS 1.3 is currently the most secure SSL/TLS supported version for
SSL-encrypted administrator access (at this time of writing).

Default Value:
FortiOS 7.x - TLS 1.2 and 1.3 enabled
FortiOS 6.x - TLS 1.1, 1.2, and 1.3 enabled","","","CLI:
config system global
set admin-https-ssl-versions tlsv1-3","","true","1. https://docs.fortinet.com/document/fortigate/7.4.5/cli-
reference/339914554/config-system-global","CLI:
config system global
get
Verify if set admin-https-ssl-versions tlsv1-3 is configured.","Use higher version of SSL/TLS to prevent MiTM attacks.",""
"2.1.11","CIS FortiGate 7.4.x Benchmark","FortiGate","Ensure CDN is enabled for improved GUI performance","Level 2","To improve GUI performance, an option is added to enable loading static GUI artifacts
cached in CDN (content delivery network) servers closer to the user rather than from
the FortiGate. On failure, the files can fall back to loading from the FortiGate.

Default Value:
Enabled","","","On CLI:
config system global
set gui-cdn-usage enable
end","","true","1. https://docs.fortinet.com/document/fortigate/7.4.5/administration-
guide/205105/loading-artifacts-from-a-cdn","On CLI:
config system global
get
Ensure that gui-cdn-usage is enabled.","When accessing a remote FortiGate, GUI might experience some slowness due to
geographical distance. For this case, loading static GUI artifacts cached in CDN servers
will provide a better GUI / web management experience.","This is not a security control recommendation. Hence, there is no impact if this is not
enabled."
"2.1.12","CIS FortiGate 7.4.x Benchmark","FortiGate","Ensure single CPU core overloaded event is logged","Level 1","Add log-single-cpu-high option under config system global. When enabled, CPU single
core usage will be polled every three seconds, and any single CPU core usage above
the CPU usage threshold will report an event log. If a core is reported, that core will not
be checked again for the next 30 seconds.

Default Value:
Disabled","","","On CLI:
config system global
set log-single-cpu-high enable
end","","true","1. https://community.fortinet.com/t5/FortiGate/Technical-Tip-Enable-logging-for-
single-core-CPU-spike-against/ta-p/293010
2. https://docs.fortinet.com/document/fortigate/7.2.4/fortios-release-
notes/743723/new-features-or-enhancements","On CLI:
config system global
get
Ensure that log-single-cpu-high is enabled.","There are instances where overall CPU usage is low, but there is a single CPU core
that is overloaded. But because reporting and dashboard in FortiGate shows the overall
CPU usage, a single CPU core spike may get overlooked on a FortiGate with multiple
CPU cores. This causes performance issues where there are instances which traffic has
been stopped processing.",""
"2.1.13","CIS FortiGate 7.4.x Benchmark","FortiGate","Ensure Hostname is Not Displayed On Login GUI","Level 2","Ensure that the device hostname is not displayed on the GUI login page

Default Value:
Default Value for ""gui-display-hostname"" is disable
2.2 Password Policy
This Section contains criteria for local passwords such as complexity and restrictions.
The best practice is to use named accounts, and if possible a back-end authentication
solution such as Active Directory or (best case) a two-factor authentication solution.
However, local credentials will always exist, if only to account for the failure of a back-
end authentication solution.","","","To disable ""gui-display-hostname""
In the CLI:
FGT1 # config system global
FGT1 (global) # set gui-display-hostname disable
FGT1 (global) # end
FGT1 #","","true","","From the CLI run the command:
FGT1 # get system global | grep -f gui-display
gui-display-hostname: disable <---
If ""gui-display-hostname"" is set to disable the hostname will not be displayed on the
login screen","The hostname of the device may be displayed on the GUI login page which may provide
information for reconnaissance",""
"2.2.1","CIS FortiGate 7.4.x Benchmark","FortiGate","Ensure 'Password Policy' is enabled","Level 1","It is important to use secure and complex passwords for preventing unauthorized
access to the FortiGate device.

Default Value:
By default, 'Password Policy' is disabled. It can be checked from CLI as follows:
config system password-policy
set status disable
end
Or from GUI as follows:
1) Log in to FortiGate as Super Admin
2) Go to 'System' > 'Settings'
3) Find the 'Password Policy' section
4) Default 'Password scope' is 'Off'

Additional Information:
Consider the following to ensure better security:
• Do not use passwords that are obvious, such as the company name,
administrator names, or other obvious words or phrases.
• Administrator passwords can be up to 64 characters.
• Use multiple words together, or possibly even a sentence, for example:
correcthorsebatterystaple.
• Make note of the password and store it in a safe place away from the
management computer, in case you forget it; or ensure at least two people know
the password in the event one person becomes unavailable. Alternatively, have
two different admin logins.","","","Can be modified from CLI or GUI.
From CLI, do the following:
config system password-policy
set status enable
set apply-to admin-password ipsec-preshared-key
set minimum-length 14
end
Or from GUI, do the following:
1) Log in to FortiGate as Super Admin
2) Go to 'System' > 'Settings'
3) Find the 'Password Policy' section
4) Default 'Password scope' is 'Off', change it to 'Both'
5) set 'Minimum length' to '14'","","true","1. https://pages.nist.gov/800-63-4/sp800-63b.html
2. https://docs.fortinet.com/document/fortigate/7.4.5/cli-
reference/127236326/config-system-password-policy
3. https://docs.fortinet.com/document/fortigate/7.4.5/administration-guide/364729","Currently implemented password policy can be shown from GUI or CLI
From CLI, type:
get system password-policy
Or from GUI as follows:
1) Log in to FortiGate with a user with at least read-only privileges
2) Go to 'System' > 'Settings'
3) Find and check the status of the 'Password Policy' Section
4) Ensure 'Password scope' is 'Both'
5) Ensure 'Minimum length' to '14'
The recent update by NIST on password policy has shifted focus to password length,
since longer passwords are harder to crack with brute-force attacks. Not enforcing
password complexity such as symbols and numbers can be easier for users to
remember without being predictable.
NIST also is now recommending password resets in the case of a credential breach
only.","Attackers can use brute force password software to launch more than just dictionary
attacks. Such attacks can discover common passwords where a letter is replaced by a
number or symbol. Center for Internet Security (CIS) recommends that passwords
should be at least 14 characters long with no limit on the enforced maximum number of
characters","Weak passwords can be easily discovered by hackers, which leads to unauthorized
access to FortiGate. Depending on the access privilege of the compromised account,
the attacker may modify important settings."
"2.2.2","CIS FortiGate 7.4.x Benchmark","FortiGate","Ensure administrator password retries and lockout time are configured","Level 1","Failed login attempts can indicate malicious attempts to gain access to your network. To
prevent this security risk, FortiGate is preconfigured to limit the number of failed
administrator login attempts. After the maximum number of failed login attempts is
reached, access to the account is blocked for the configured lockout period.

Default Value:
By default, the number of password retry attempts is set to three, allowing the
administrator a maximum of three attempts at logging in to their account before they are
locked out for a set amount of time (by default, 60 seconds).

Additional Information:
The number of attempts and the default wait time before the administrator can try to
enter a password again can be configured using the CLI.
A maximum of ten retry attempts can be configured, and the lockout period can be 1 to
2147483647 seconds (over 68 years).
The higher the retry attempts, the higher the risk that someone might be able to guess
the password.","","","To configure the lockout options, from CLI:
config system global
set admin-lockout-threshold 3
set admin-lockout-duration 900
end
Lockout affects the offending IP address, not the entire account.","","true","1. https://docs.fortinet.com/document/fortigate/7.4.5/cli-
reference/339914554/config-system-global","To check the lockout options, from CLI:
get system global
from the output, check the value of the below fields:
1. admin-lockout-threshold
2. admin-lockout-duration
Ensure that admin-lockout-threshold is set at 3 or less and admin-lockout-
duration is set at 900 or less","When you log in and fail to enter the correct password, you could potentially be a valid
user or a hacker attempting to gain access. For this reason, best practice dictates
limiting the number of failed login attempts before a lockout period in which you cannot
log in for a certain period of time. Lockout period will minimize hacker attempts to gain
access to the firewall.","Attackers will keep attempting to access the device through brute force attacks without
any interruption, which may lead to a successful login."
"2.3.1","CIS FortiGate 7.4.x Benchmark","FortiGate","Ensure only SNMPv3 is enabled","Level 1","Ensuring that only SNMPv3 service is enabled and SNMPv1, SNMPv2c are disabled.

Default Value:
By default, SNMP agent is disabled.","","","To enable SNMP agent in CLI:
FGT1 # config system snmp sysinfo
FGT1 (sysinfo) # set status enable
FGT1 (sysinfo) # end
In GUI, go to System > SNMP and enable SNMP Agent.
To delete SNMPv1/2c communities. In this example, we'll delete community ""public"" in
CLI:
First, to identify the community, run
FGT1 # config system snmp community
FGT1 (community) # show
config system snmp community
edit 1
set name ""public""
config hosts
edit 1
next
end
next
end
This shows that the community public has ID 1
FGT1 # config system snmp community
FGT1 (community) # delete 1
FGT1 (community) # end
FGT #
In the GUI, go to:
System > SNMP, select the community and click on the Delete button.
To add SNMPv3 user in CLI:
FGT1 # config system snmp user
FGT1 (user) # edit ""snmp_test""
FGT1 (snmp_test) # set security-level auth-priv
FGT1 (snmp_test) # set auth-proto sha256
FGT1 (snmp_test) # set auth-pwd xxxx
FGT1 (snmp_test) # set priv-proto aes256
FGT1 (snmp_test) # set priv_pwd xxxx
FGT1 (snmp_test) # end
FGT1 #
In the GUI, go to:
1. System > SNMP, under SNMPv3, click on ""Create New"" button.
2. Select ""Authentication"" and choose SHA256 as Authentication algorithm.
3. Click ""Change"" to type in the password.
4. Also select option ""Private"", choose AES256 as Encryption Algorithm.
5. Click on ""Change"" to change the password. Click ""OK"" to add the new user.
6. Click apply to apply the new setting into the current config.","","true","1. https://community.fortinet.com/t5/FortiGate/Technical-Tip-How-to-Configure-
FortiGate-SNMP-Agent-for/ta-p/196866?externalID=FD45755
2. https://docs.fortinet.com/document/fortigate/7.4.5/administration-
guide/325005/basic-configuration","From CLI, check to make sure that there is not any community for SNMPv1 or
SNMPv2c and only SNMPv3 users are there. Also make sure that SNMP Agent is
enabled:
FGT1 # config system snmp sysinfo
FGT1 (sysinfo) # show
config system snmp sysinfo
set status enable
...
end
FGT1 (sysinfo) # end
FGT1 # config system snmp community
FGT1 (community) # show
config system snmp community
end
FGT1 (community) # end
FGT1 # config system snmp user
FGT1 (user) # show
config system snmp user
edit ""snmp_test""
set security-level auth-priv
set auth-proto sha256
set auth-pwd ENC xxxxxx
set priv-proto aes256
set priv-pwd ENC xxxxxx
next
end
In the GUI, go to:
1. System > SNMP. Make sure that SNMP agent is enabled.
2. Make sure that there is not any SNMPv1/2c community.
3. Make sure that there is at least 1 SNMPv3 user in the list.","SNMP Version 3 provides security enhancements that are not available in SNMP
Version 1 or SNMP Version 2c. SNMP Versions 1 and 2c transmit data between the
SNMP server and SNMP agent in clear text. SNMP Version 3 adds authentication and
privacy options to secure protocol operations. Some firewalls need to be constantly
monitored of its performance and status, especially if the firewalls are critical to the
operation. Enabling SNMPv3 will ensure that the firewall is monitored properly.","Some older SNMP servers that only run SNMPv1 or SNMPv2c will not be able to query
to this firewall."
"2.3.2","CIS FortiGate 7.4.x Benchmark","FortiGate","Allow only trusted hosts in SNMPv3","Level 2","Ensuring that only certain hosts are able to conduct SNMP GET or receive SNMP Trap.

Default Value:
By default, no SNMP is configured.","","","To remove 0.0.0.0 from trusted hosts in CLI:
FGT1 # config system snmp user
FGT1 (user) # edit ""snmp_test""
FGT1 (snmp_test) # unselect notify-hosts 0.0.0.0
FGT1 (snmp_test) # end
FGT1 #
From GUI:
1. System > SNMP.
2. On SNMPv3 section, double click on the configured SNMPv3 settings.
3. Remove 0.0.0.0 from ""Hosts"" option.","","true","1. https://docs.fortinet.com/document/fortigate/7.4.5/administration-
guide/325005/basic-configuration","From CLI:
FGT1 # show system snmp user
config system snmp user
edit ""snmp_test""
set notify-hosts 192.168.1.101
set security-level auth-priv
set auth-proto sha512
set auth-pwd ENC xxxxx
set priv-proto aes256
set priv-pwd ENC xxxxx
next
end
Validate that ""notify-hosts"" is configured with specific IP address, and there is no
""0.0.0.0"" configured.
From GUI:
1. System > SNMP.
2. On SNMPv3 section, double click on the configured SNMPv3 settings.
3. Ensure that ""Hosts"" is configured with specific IP address, and there is
no ""0.0.0.0"" configured.","SNMP offers rich information that can be useful for reconnaissance activity. Hence,
limiting this information to only relevant devices such as NMS (Network Monitoring
System) or other SNMP servers is necessary.",""
