"name","rule_id","title","section","level","severity","automated","description","rationale","impact","remediation","audit","references","benchmark"
"Ensure 'Minimum Length' is greater than or equal to 12","1.3.2","Ensure 'Minimum Length' is greater than or equal to 12","","Level 1","","true","This determines the least number of characters that make up a password for a user
account.

Default Value:
Not enabled.","A longer password is much more difficult to attack, either directly against administrative
interfaces or cryptographically, against captured password hashes. Making a password
of greater length will generally have a greater impact in this regard, in comparison to
making a shorter password more complex. Passphrases are a commonly used
recommendation, to make longer passwords more palatable to end users.
Administrative staff however generally use ""password safe"" applications, so a long and
complex password is more easily implemented for most infrastructure administrative
interfaces.","Longer passwords are much more difficult to attack. This is true of attacks against the
administrative interfaces themselves, or of decryption attacks against captured hashes.
A longer password will almost always have a more positive impact than a shorter but
more complex password.","Navigate to Device > Setup > Management > Minimum Password Complexity.
Set Minimum Length to greater than or equal to 12","Navigate to Device > Setup > Management > Minimum Password Complexity.
Verify Minimum Length is greater than or equal to 12","1. “PAN-OS Administrator's Guide 9.0 (English) - Best Practices for Securing
Administrative Access” - https://docs.paloaltonetworks.com/pan-os/9-0/pan-os-
admin/getting-started/best-practices-for-securing-administrative-access.html","CIS Palo Alto Firewall 10 Benchmark"
"Ensure 'Minimum Uppercase Letters' is greater than or equal to 1","1.3.3","Ensure 'Minimum Uppercase Letters' is greater than or equal to 1","","Level 1","","true","This checks all new passwords to ensure that they contain at least one English
uppercase character (A through Z).

Default Value:
Not enabled.","This is one of several settings that, when taken together, ensure that passwords are
sufficiently complex as to thwart brute force and dictionary attacks.","","Navigate to Device > Setup > Management > Minimum Password Complexity
Set Minimum Uppercase Letters to greater than or equal to 1","Navigate to Device > Setup > Management > Minimum Password Complexity
Verify Minimum Uppercase Letters is greater than or equal to 1","1. “PAN-OS Administrator's Guide 9.0 (English) - Best Practices for Securing
Administrative Access” - https://docs.paloaltonetworks.com/pan-os/9-0/pan-os-
admin/getting-started/best-practices-for-securing-administrative-access.html","CIS Palo Alto Firewall 10 Benchmark"
"Ensure 'Minimum Lowercase Letters' is greater than or equal to 1","1.3.4","Ensure 'Minimum Lowercase Letters' is greater than or equal to 1","","Level 1","","true","This checks all new passwords to ensure that they contain at least one English
lowercase character (a through z).

Default Value:
Not enabled.","This is one of several settings that, when taken together, ensure that passwords are
sufficiently complex as to thwart brute force and dictionary attacks.","","Navigate to Device > Setup > Management > Minimum Password Complexity
Set Minimum Lowercase Letters to greater than or equal to 1","Navigate to Device > Setup > Management > Minimum Password Complexity
Verify Minimum Lowercase Letters is greater than or equal to 1","1. “PAN-OS Administrator's Guide 9.0 (English) - Best Practices for Securing
Administrative Access” - https://docs.paloaltonetworks.com/pan-os/9-0/pan-os-
admin/getting-started/best-practices-for-securing-administrative-access.html","CIS Palo Alto Firewall 10 Benchmark"
"Ensure 'Minimum Numeric Letters' is greater than or equal to 1","1.3.5","Ensure 'Minimum Numeric Letters' is greater than or equal to 1","","Level 1","","true","This checks all new passwords to ensure that they contain at least one base 10 digit (0
through 9).

Default Value:
Not enabled.","This is one of several settings that, when taken together, ensure that passwords are
sufficiently complex as to thwart brute force and dictionary attacks.","","Navigate to Device > Setup > Management > Minimum Password Complexity
Set Minimum Numeric Letters to greater than or equal to 1","Navigate to Device > Setup > Management > Minimum Password Complexity`
Verify Minimum Numeric Letters is greater than or equal to 1","1. “PAN-OS Administrator's Guide 9.0 (English) - Best Practices for Securing
Administrative Access” - https://docs.paloaltonetworks.com/pan-os/9-0/pan-os-
admin/getting-started/best-practices-for-securing-administrative-access.html","CIS Palo Alto Firewall 10 Benchmark"
"Ensure 'Minimum Special Characters' is greater than or equal to 1","1.3.6","Ensure 'Minimum Special Characters' is greater than or equal to 1","","Level 1","","true","This checks all new passwords to ensure that they contain at least one non-alphabetic
character (for example, !, $, #, %).

Default Value:
Not enabled.","This is one of several settings that, when taken together, ensure that passwords are
sufficiently complex as to thwart brute force and dictionary attacks.","","Navigate to Device > Setup > Management > Minimum Password Complexity
Set Minimum Special Characters to greater than or equal to 1","Navigate to Device > Setup > Management > Minimum Password Complexity
Verify Minimum Special Characters is greater than or equal to 1","1. “PAN-OS Administrator's Guide 9.0 (English) - Best Practices for Securing
Administrative Access” - https://docs.paloaltonetworks.com/pan-os/9-0/pan-os-
admin/getting-started/best-practices-for-securing-administrative-access.html","CIS Palo Alto Firewall 10 Benchmark"
"Ensure 'Required Password Change Period' is less than or equal to 90 days","1.3.7","Ensure 'Required Password Change Period' is less than or equal to 90 days","","Level 1","","false","This defines how long a user can use a password before it expires.

Default Value:
Not enabled.

Additional Information:
This guidance is currently under some debate in the community. If the password length
is sufficient and password complexity is enforced, then in many organizations it is likely
that the password change period can be increased to 6, 9 or even 12 months.","The longer a password exists, the higher the likelihood that it will be compromised by a
brute force attack, by an attacker gaining general knowledge about the user and
guessing the password, or by the user sharing the password.","Failure to change administrative passwords can result in a slow ""creep"" of people who
have access. Especially in a situation with high staff turnover (for instance, in a NOC or
SOC situation), administrative passwords need to be changed frequently.
Administrative credentials should not be shared across multiple devices. In a NOC/SOC
situation, it's important to not share administrative credentials between operators
(names accounts should be used), and in particular administrative credentials should
never be shared across different customer infrastructures.","Navigate to Device > Setup > Management > Minimum Password Complexity.
Set Required Password Change Period (days) to less than or equal to 90","Navigate to Device > Setup > Management > Minimum Password Complexity.
Verify Required Password Change Period (days) is less than or equal to 90","1. “PAN-OS Administrator's Guide 9.0 (English) - Best Practices for Securing
Administrative Access” - https://docs.paloaltonetworks.com/pan-os/9-0/pan-os-
admin/getting-started/best-practices-for-securing-administrative-access.html","CIS Palo Alto Firewall 10 Benchmark"
"Ensure 'New Password Differs By Characters' is greater than or equal to 3","1.3.8","Ensure 'New Password Differs By Characters' is greater than or equal to 3","","Level 1","","true","This checks all new passwords to ensure that they differ by at least three characters
from the previous password.

Default Value:
Not enabled.","This is one of several settings that, when taken together, ensure that passwords are
sufficiently complex as to thwart brute force and dictionary attacks.","This prevents the use of passwords that fall into a predictable pattern. Especially in
situations that involve staff turnover, having a pattern to password changes should be
avoided.","Navigate to Device > Setup > Management > Minimum Password Complexity
Set New Password Differs By Characters to 3 or more","Navigate to Device > Setup > Management > Minimum Password Complexity
Verify New Password Differs By Characters is set to greater than or equal to 3","1. “PAN-OS Administrator's Guide 9.0 (English) - Best Practices for Securing
Administrative Access” - https://docs.paloaltonetworks.com/pan-os/9-0/pan-os-
admin/getting-started/best-practices-for-securing-administrative-access.html","CIS Palo Alto Firewall 10 Benchmark"
"Ensure 'Prevent Password Reuse Limit' is set to 24 or more passwords","1.3.9","Ensure 'Prevent Password Reuse Limit' is set to 24 or more passwords","","Level 1","","true","This determines the number of unique passwords that have to be most recently used for
a user account before a previous password can be reused.

Default Value:
Not enabled.","The longer a user uses the same password, the greater the chance that an attacker can
determine the password through brute force attacks. Also, any accounts that may have
been compromised will remain exploitable for as long as the password is left
unchanged. If password changes are required but password reuse is not prevented, or if
users continually reuse a small number of passwords, the effectiveness of a good
password policy is greatly reduced. While current guidance emphasizes password
length above frequent password changes, not enforcing password re-use guidance
adds the temptation of using a small pool of passwords, which can make an attacker's
job easier across an entire infrastructure.","","Navigate to Device > Setup > Management > Minimum Password Complexity.
Set Prevent Password Reuse Limit to greater than or equal to 24","Navigate to Device > Setup > Management > Minimum Password Complexity.
Verify Prevent Password Reuse Limit is greater than or equal to 24","1. “PAN-OS Administrator's Guide 9.0 (English) - Best Practices for Securing
Administrative Access” - https://docs.paloaltonetworks.com/pan-os/9-0/pan-os-
admin/getting-started/best-practices-for-securing-administrative-access.html","CIS Palo Alto Firewall 10 Benchmark"
"Ensure 'Password Profiles' do not exist","1.3.10","Ensure 'Password Profiles' do not exist","","Level 1","","true","Password profiles that are weaker than the recommended minimum password
complexity settings must not exist.

Default Value:
Not configured","As password profiles override any 'Minimum Password Complexity' settings defined in
the device, they generally should not exist. If these password profiles do exist, they
should enforce stronger password policies than what is set in the 'Minimum Password
Complexity' settings.","","Navigate to Device > Password Profiles.
Ensure Password Profiles weaker than the recommended minimum password
complexity settings do not exist.","Navigate to Device > Password Profiles.
Verify Password Profiles weaker than the recommended minimum password complexity
settings do not exist.","1. “PAN-OS Administrator's Guide 9.0 (English) - Best Practices for Securing
Administrative Access” - https://docs.paloaltonetworks.com/pan-os/9-0/pan-os-
admin/getting-started/best-practices-for-securing-administrative-access.html","CIS Palo Alto Firewall 10 Benchmark"
"Ensure 'Idle timeout' is less than or equal to 10 minutes for device management","1.4.1","Ensure 'Idle timeout' is less than or equal to 10 minutes for device management","","Level 1","","true","Set the Idle Timeout value for device management to 10 minutes or less to
automatically close inactive sessions.

Default Value:
Not configured","An unattended computer with an open administrative session to the device could allow
an unauthorized user access to the firewall’s management interface.","","Navigate to Device > Setup > Management > Authentication Settings.
Set Idle Timeout to less than or equal to 10.","Navigate to Device > Setup > Management > Authentication Settings.
Verify Idle Timeout is less than or equal to 10.","1. “How to Change the Admin Session Timeout Value” -
https://live.paloaltonetworks.com/docs/DOC-5557
2. “PAN-OS Administrator's Guide 11.1 (English) - Device - Setup - Management” -
https://docs.paloaltonetworks.com/pan-os/11-1/pan-os-web-interface-
help/device/device-setup-management#","CIS Palo Alto Firewall 10 Benchmark"
"Ensure 'Failed Attempts' and 'Lockout Time' for Authentication Profile are properly configured","1.4.2","Ensure 'Failed Attempts' and 'Lockout Time' for Authentication Profile are properly configured","","Level 1","","true","Configure values for Failed Login Attempts and Account Lockout Time set to
organization-defined values (for example, 3 failed attempts and a 15 minute lockout
time). Do not set Failed Attempts and Lockout Time in the Authentication Settings
section; any Failed Attempts or Lockout Time settings within the selected Authentication
Profile do not apply in the Authentication Settings section.

Default Value:
Not configured

Additional Information:
Both values must be set. If either value is not set, account lockout does not occur.","Without a lockout limit, an attacker can continuously guess administrators’ passwords.
From the other point of view, if lockout settings are configured in the Authentication
Settings section it may be possible for an attacker to continuously lock out all
administrative accounts from accessing the device. This potential situation indicates the
importance of using named administrative accounts, instead of the default, single
shared ""admin"" account.","","Navigate to Device > Authentication Profile.
Set Failed Attempts to the non-zero organization-defined value.
Set Lockout Time to the non-zero organization-defined value.","Navigate to Device > Authentication Profile.
Verify Failed Attempts is set a non-zero organization-defined value.
Verify Lockout Time is set to a non-zero organization-defined value.","1. “PAN-OS Administrator's Guide 11.1 (English) - Device - Setup - Management” -
https://docs.paloaltonetworks.com/pan-os/11-1/pan-os-web-interface-
help/device/device-setup-management#
2. “PAN-OS Administrator's Guide 11.1 (English) - Authentication Profile"" -
https://docs.paloaltonetworks.com/pan-os/11-1/pan-os-web-interface-
help/device/device-authentication-profile","CIS Palo Alto Firewall 10 Benchmark"
