"name","rule_id","title","section","level","severity","automated","description","rationale","impact","remediation","audit","references","benchmark"
"Ensure auditing is configured for Docker files and directories - /etc/docker/daemon.json","1.11","Ensure auditing is configured for Docker files and directories - /etc/docker/daemon.json","","Level 1","","","Scoring: Scored

Audit /etc/docker/daemon.json, if applicable.

Default Value:
By default, Docker related files and directories are not audited. The file
/etc/docker/daemon.json may not be available on the system. In that case, this
recommendation is not applicable.","Apart from auditing your regular Linux file system and system calls, audit all Docker
related files and directories. Docker daemon runs with root privileges. Its behavior
depends on some key files and directories. /etc/docker/daemon.json is one such file. It
holds various parameters for Docker daemon. It must be audited, if applicable.","Auditing generates quite big log files. Ensure to rotate and archive them periodically. Also,
create a separate partition of audit to avoid filling root file system.","Add a rule for /etc/docker/daemon.json file.
For example,
Add the line as below in /etc/audit/audit.rules file:
-w /etc/docker/daemon.json -k docker
Then, restart the audit daemon. For example,
service auditd restart","Verify that there is an audit rule corresponding to /etc/docker/daemon.json file.
For example, execute below command:
auditctl -l | grep /etc/docker/daemon.json
This should list a rule for /etc/docker/daemon.json file.","1. https://access.redhat.com/documentation/en-
US/Red_Hat_Enterprise_Linux/6/html/Security_Guide/chap-system_auditing.html
2. https://docs.docker.com/engine/reference/commandline/dockerd/#daemon-
configuration-file","CIS Docker Community Edition Benchmark"
"Ensure auditing is configured for Docker files and directories - /usr/bin/docker-containerd","1.12","Ensure auditing is configured for Docker files and directories - /usr/bin/docker-containerd","","Level 1","","","Scoring: Scored

Audit /usr/bin/docker-containerd, if applicable.

Default Value:
By default, Docker related files and directories are not audited. The file /usr/bin/docker-
containerd may not be available on the system. In that case, this recommendation is not
applicable.","Apart from auditing your regular Linux file system and system calls, audit all Docker
related files and directories. Docker daemon runs with root privileges. Its behavior
depends on some key files and directories. /usr/bin/docker-containerd is one such file.
Docker now relies on containerdand runC to spawn containers. It must be audited, if
applicable.","Auditing generates quite big log files. Ensure to rotate and archive them periodically. Also,
create a separate partition of audit to avoid filling root file system.","Add a rule for /usr/bin/docker-containerd file.
For example,
Add the line as below in /etc/audit/audit.rules file:
-w /usr/bin/docker-containerd -k docker
Then, restart the audit daemon. For example,
service auditd restart","Verify that there is an audit rule corresponding to /usr/bin/docker-containerd file.
For example, execute below command:
auditctl -l | grep /usr/bin/docker-containerd
This should list a rule for /usr/bin/docker-containerd file.","1. https://access.redhat.com/documentation/en-
US/Red_Hat_Enterprise_Linux/6/html/Security_Guide/chap-system_auditing.html
2. https://github.com/docker/docker/pull/20662
3. https://containerd.tools/","CIS Docker Community Edition Benchmark"
"Ensure auditing is configured for Docker files and directories - /usr/bin/docker-runc","1.13","Ensure auditing is configured for Docker files and directories - /usr/bin/docker-runc","","Level 1","","","Scoring: Scored

Audit /usr/bin/docker-runc, if applicable.

Default Value:
By default, Docker related files and directories are not audited. The file/usr/bin/docker-
runc may not be available on the system. In that case, this recommendation is not
applicable.","Apart from auditing your regular Linux file system and system calls, audit all Docker
related files and directories. Docker daemon runs with root privileges. Its behavior
depends on some key files and directories. /usr/bin/docker-runc is one such file. Docker
now relies on containerd and runC to spawn containers. It must be audited, if applicable.","Auditing generates quite big log files. Ensure to rotate and archive them periodically. Also,
create a separate partition of audit to avoid filling root file system.","Add a rule for /usr/bin/docker-runc file.
For example,
Add the line as below in /etc/audit/audit.rules file:
-w /usr/bin/docker-runc -k docker
Then, restart the audit daemon. For example,
service auditd restart","Verify that there is an audit rule corresponding to /usr/bin/docker-runc file.
For example, execute below command:
auditctl -l | grep /usr/bin/docker-runc
This should list a rule for /usr/bin/docker-runc file.","1. https://access.redhat.com/documentation/en-
US/Red_Hat_Enterprise_Linux/6/html/Security_Guide/chap-system_auditing.html
2. https://github.com/docker/docker/pull/20662
3. https://containerd.tools/
4. https://github.com/opencontainers/runc","CIS Docker Community Edition Benchmark"
"Ensure network traffic is restricted between containers on the default bridge","2.1","Ensure network traffic is restricted between containers on the default bridge","","Level 1","","","Scoring: Scored

By default, all network traffic is allowed between containers on the same host on the
default network bridge. If not desired, restrict all the inter-container communication. Link
specific containers together that require communication. Alternatively, you can create
custom network and only join containers that need to communicate to that custom
network.

Default Value:
By default, all inter-container communication is allowed on the default network bridge.","By default, unrestricted network traffic is enabled between all containers on the same host
on the default network bridge. Thus, each container has the potential of reading all packets
across the container network on the same host. This might lead to an unintended and
unwanted disclosure of information to other containers. Hence, restrict the inter-container
communication on the default network bridge.","The inter-container communication would be disabled on the default network bridge. If
any communication between containers on the same host is desired, then it needs to be
explicitly defined using container linking or alternatively custom networks have to be
defined.","Run the docker in daemon mode and pass --icc=false as an argument.
For Example,
dockerd --icc=false
Alternatively, you can follow the Docker documentation and create a custom network and
only join containers that need to communicate to that custom network. The --icc
parameter only applies to the default docker bridge, if custom networks are used then the
approach of segmenting networks should be adopted instead.","Run the below command and verify that the default network bridge has been configured to
restrict inter-container communication.
docker network ls --quiet | xargs docker network inspect --format '{{ .Name
}}: {{ .Options }}'
It should return com.docker.network.bridge.enable_icc:false for the default network
bridge.","1. https://docs.docker.com/engine/userguide/networking/
2. https://docs.docker.com/engine/userguide/networking/default_network/containe
r-communication/#communication-between-containers","CIS Docker Community Edition Benchmark"
"Ensure the logging level is set to 'info'","2.2","Ensure the logging level is set to 'info'","","Level 1","","","Scoring: Scored

Set Docker daemon log level to info.

Default Value:
By default, Docker daemon is set to log level of info.","Setting up an appropriate log level, configures the Docker daemon to log events that you
would want to review later. A base log level of info and above would capture all logs
except debug logs. Until and unless required, you should not run Docker daemon at debug
log level.","None.","Run the Docker daemon as below:
dockerd --log-level=""info""","ps -ef | grep docker
Ensure that either the --log-level parameter is not present or if present, then it is set to
info.","1. https://docs.docker.com/edge/engine/reference/commandline/dockerd/","CIS Docker Community Edition Benchmark"
"Ensure Docker is allowed to make changes to iptables","2.3","Ensure Docker is allowed to make changes to iptables","","Level 1","","","Scoring: Scored

Iptables are used to set up, maintain, and inspect the tables of IP packet filter rules in the
Linux kernel. Allow the Docker daemon to make changes to the iptables.

Default Value:
By default, iptables is set to true.","Docker will never make changes to your system iptables rules if you choose to do so.
Docker server would automatically make the needed changes to iptables based on how you
choose your networking options for the containers if it is allowed to do so. It is
recommended to let Docker server make changes to iptablesautomatically to avoid
networking misconfiguration that might hamper the communication between containers
and to the outside world. Additionally, it would save you hassles of updating
iptablesevery time you choose to run the containers or modify networking options.","Docker daemon service start requires iptables rules to be enabled before it starts. Any
restarts of iptables during docker daemon operation may result in losing docker-created
rules. Adding iptables-persistent to your iptables install can assist with mitigating this
impact.","Do not run the Docker daemon with --iptables=false parameter. For example, do not
start the Docker daemon as below:
dockerd --iptables=false","ps -ef | grep dockerd
Ensure that the --iptables parameter is either not present or not set to false.","1. https://docs.docker.com/engine/userguide/networking/default_network/containe
r-communication/
2. https://fralef.me/docker-and-iptables.html","CIS Docker Community Edition Benchmark"
"Ensure insecure registries are not used","2.4","Ensure insecure registries are not used","","Level 1","","","Scoring: Scored

Docker considers a private registry either secure or insecure. By default, registries are
considered secure.

Default Value:
By default, Docker assumes all, but local, registries are secure.","A secure registry uses TLS. A copy of registry's CA certificate is placed on the Docker host at
/etc/docker/certs.d/<registry-name>/ directory. An insecure registry is the one not
having either valid registry certificate or is not using TLS. You should not be using any
insecure registries in the production environment. Insecure registries can be tampered
with leading to possible compromise to your production system.
Additionally, If a registry is marked as insecure then docker pull, docker push, and
docker search commands will not result in an error message and the user might be
indefinitely working with insecure registries without ever being notified of potential
danger.","None.","Do not use any insecure registries.
For example, do not start the Docker daemon as below:
dockerd --insecure-registry 10.1.0.0/16","Run docker info or execute the below command to find out if any insecure registries are
used:
ps -ef | grep dockerd
Ensure that the --insecure-registry parameter is not present.","1. https://docs.docker.com/registry/insecure/","CIS Docker Community Edition Benchmark"
"Ensure aufs storage driver is not used","2.5","Ensure aufs storage driver is not used","","Level 1","","","Scoring: Scored

Do not use aufs as storage driver for your Docker instance.

Default Value:
By default, Docker uses devicemapper as the storage driver on most of the platforms.
Default storage driver can vary based on your OS vendor. You should use the storage driver
that is best supported by your preferred vendor.","The aufs storage driver is the oldest storage driver. It is based on a Linux kernel patch-set
that is unlikely to be merged into the main Linux kernel. aufs driver is also known to cause
some serious kernel crashes. aufs just has legacy support from Docker. Most importantly,
aufs is not a supported driver in many Linux distributions using latest Linux kernels.","aufs is the only storage driver that allows containers to share executable and shared
library memory. It might be useful if you are running thousands of containers with the
same program or libraries.","Do not explicitly use aufs as storage driver.
For example, do not start Docker daemon as below:
dockerd --storage-driver aufs","Execute the below command and verify that aufs is not used as storage driver:
docker info | grep -e ""^Storage Driver:\s*aufs\s*$""
The above command should not return anything.","1. https://docs.docker.com/engine/userguide/storagedriver/selectadriver/#support
ed-backing-filesystems
2. http://muehe.org/posts/switching-docker-from-aufs-to-devicemapper/
3. http://jpetazzo.github.io/assets/2015-03-05-deep-dive-into-docker-storage-
drivers.html#1
4. https://docs.docker.com/engine/userguide/storagedriver/","CIS Docker Community Edition Benchmark"
"Ensure TLS authentication for Docker daemon is configured","2.6","Ensure TLS authentication for Docker daemon is configured","","Level 1","","","Scoring: Scored

It is possible to make the Docker daemon to listen on a specific IP and port and any other
Unix socket other than default Unix socket. Configure TLS authentication to restrict access
to Docker daemon via IP and port.

Default Value:
By default, TLS authentication is not configured.","By default, Docker daemon binds to a non-networked Unix socket and runs with root
privileges. If you change the default docker daemon binding to a TCP port or any other Unix
socket, anyone with access to that port or socket can have full access to Docker daemon
and in turn to the host system. Hence, you should not bind the Docker daemon to another
IP/port or a Unix socket.
If you must expose the Docker daemon via a network socket, configure TLS authentication
for the daemon and Docker Swarm APIs (if using). This would restrict the connections to
your Docker daemon over the network to a limited number of clients who could
successfully authenticate over TLS.","You would need to manage and guard certificates and keys for Docker daemon and Docker
clients.","Follow the steps mentioned in the Docker documentation or other references.","ps -ef | grep dockerd
Ensure that the below parameters are present:
--tlsverify
--tlscacert
--tlscert
--tlskey","1. https://docs.docker.com/engine/security/https/","CIS Docker Community Edition Benchmark"
"Ensure the default ulimit is configured appropriately","2.7","Ensure the default ulimit is configured appropriately","","Level 1","","","Scoring: Not Scored

Set the default ulimit options as appropriate in your environment.

Default Value:
By default, no ulimit is set.","ulimit provides control over the resources available to the shell and to processes started
by it. Setting system resource limits judiciously saves you from many disasters such as a
fork bomb. Sometimes, even friendly users and legitimate processes can overuse system
resources and in-turn can make the system unusable.
Setting default ulimit for the Docker daemon would enforce the ulimit for all container
instances. You would not need to setup ulimit for each container instance. However, the
default ulimit can be overridden during container runtime, if needed. Hence, to control the
system resources, define a default ulimit as needed in your environment.","If the ulimits are not set properly, the desired resource control might not be achieved and
might even make the system unusable.","Run the docker in daemon mode and pass --default-ulimit as argument with respective
ulimits as appropriate in your environment.
For Example,
dockerd --default-ulimit nproc=1024:2048 --default-ulimit nofile=100:200","ps -ef | grep dockerd
Ensure that the --default-ulimit parameter is set as appropriate.","1. https://docs.docker.com/edge/engine/reference/commandline/dockerd/#default-
ulimits","CIS Docker Community Edition Benchmark"
"Enable user namespace support","2.8","Enable user namespace support","","Level 2","","","Scoring: Scored

Enable user namespace support in Docker daemon to utilize container user to host user re-
mapping. This recommendation is beneficial where containers you are using do not have an
explicit container user defined in the container image. If container images that you are
using have a pre-defined non-root user, this recommendation may be skipped since this
feature is still in its infancy and might give you unpredictable issues and complexities.

Default Value:
By default, user namespace is not remapped.","The Linux kernel user namespace support in Docker daemon provides additional security
for the Docker host system. It allows a container to have a unique range of user and group
IDs which are outside the traditional user and group range utilized by the host system.
For example, the root user will have expected administrative privilege inside the container
but can effectively be mapped to an unprivileged UID on the host system.","User namespace remapping makes quite a few Docker features incompatible and also
currently breaks a few functionalities. Check out the Docker documentation and referenced
links for details.","Please consult Docker documentation for various ways in which this can be configured
depending upon your requirements. Your steps might also vary based on platform - For
example, on Red Hat, sub-UIDs and sub-GIDs mapping creation does not work
automatically. You might have to create your own mapping.
However, the high-level steps are as below:
Step 1: Ensure that the files /etc/subuid and /etc/subgid exist.
touch /etc/subuid /etc/subgid
Step 2: Start the docker daemon with --userns-remap flag
dockerd --userns-remap=default","ps -p $(docker inspect --format='{{ .State.Pid }}' <CONTAINER ID>) -o
pid,user
The above command would find the PID of the container and then would list the host user
associated with the container process. If the container process is running as root, then this
recommendation is non-compliant.
Alternatively, you can run docker info to ensure that the userns is listed under Security
Options:
docker info --format '{{ .SecurityOptions }}'","1. http://man7.org/linux/man-pages/man7/user_namespaces.7.html
2. https://docs.docker.com/engine/reference/commandline/dockerd/#daemon-user-
namespace-options
3. http://events.linuxfoundation.org/sites/events/files/slides/User%20Namespaces
%20-%20ContainerCon%202015%20-%2016-9-final_0.pdf","CIS Docker Community Edition Benchmark"
"Ensure the default cgroup usage has been confirmed","2.9","Ensure the default cgroup usage has been confirmed","","Level 2","","","Scoring: Scored

The --cgroup-parent option allows you to set the default cgroup parent to use for all the
containers. If there is no specific use case, this setting should be left at its default.

Default Value:
By default, docker daemon uses /docker for fs cgroup driver and system.slice for
systemd cgroup driver.","System administrators typically define cgroups under which containers are supposed to
run. Even if cgroups are not explicitly defined by the system administrators, containers run
under docker cgroup by default.
It is possible to attach to a different cgroup other than that is the default. This usage should
be monitored and confirmed. By attaching to a different cgroup than the one that is a
default, it is possible to share resources unevenly and thus might starve the host for
resources.","None.","The default setting is good enough and can be left as-is. If you want to specifically set a non-
default cgroup, pass --cgroup-parent parameter to the docker daemon when starting it.
For Example,
dockerd --cgroup-parent=/foobar","ps -ef | grep dockerd
Ensure that the --cgroup-parent parameter is either not set or is set as appropriate non-
default cgroup.","1. https://docs.docker.com/engine/reference/commandline/dockerd/#default-
cgroup-parent","CIS Docker Community Edition Benchmark"
"Ensure base device size is not changed until needed","2.10","Ensure base device size is not changed until needed","","Level 2","","","Scoring: Scored

In certain circumstances, you might need containers bigger than 10G in size. In these cases,
carefully choose the base device size.

Default Value:
The default base device size is 10G.","The base device size can be increased at daemon restart. Increasing the base device size
allows all future images and containers to be of the new base device size. A user can use
this option to expand the base device size however shrinking is not permitted. This value
affects the system-wide “base” empty filesystem that may already be initialized and
inherited by pulled images.
Though the file system does not allot the increased size if it is empty, it will use more space
for the empty case depending upon the device size. This may cause a denial of service by
ending up in file system being over-allocated or full.","None.","Do not set --storage-opt dm.basesize until needed.","ps -ef | grep dockerd
Execute the above command and it should not show any --storage-opt dm.basesize
parameters.","1. https://docs.docker.com/engine/reference/commandline/dockerd/#storage-
driver-options","CIS Docker Community Edition Benchmark"
"Ensure that authorization for Docker client commands is enabled","2.11","Ensure that authorization for Docker client commands is enabled","","Level 2","","","Scoring: Scored

Use native Docker authorization plugins or a third party authorization mechanism with
Docker daemon to manage access to Docker client commands.

Default Value:
By default, authorization plugins are not set up.","Docker’s out-of-the-box authorization model is all or nothing. Any user with permission to
access the Docker daemon can run any Docker client command. The same is true for callers
using Docker’s remote API to contact the daemon. If you require greater access control, you
can create authorization plugins and add them to your Docker daemon configuration. Using
an authorization plugin, a Docker administrator can configure granular access policies for
managing access to Docker daemon.
Third party integrations of Docker may implement their own authorization models to
require authorization with the Docker daemon outside of docker's native authorization
plugin (i.e. Kubernetes, Cloud Foundry, Openshift).","Each docker command specifically passes through authorization plugin mechanism. This
might introduce a slight performance drop.
Third party use of alternative container engines that utilize the docker daemon may
provide alternative mechanisms to provide this security control.","Step 1: Install/Create an authorization plugin.
Step 2: Configure the authorization policy as desired.
Step 3: Start the docker daemon as below:
dockerd --authorization-plugin=<PLUGIN_ID>","ps -ef | grep dockerd
Ensure that the --authorization-plugin parameter is set as appropriate if using docker
native authorization.
docker search hello-world
Ensure that docker daemon requires authorization to perform the above command.","1. https://docs.docker.com/engine/reference/commandline/dockerd/#access-
authorization
2. https://docs.docker.com/engine/extend/plugins_authorization/
3. https://github.com/twistlock/authz
Notes:
As a scored control, focus should be on a PASS/FAIL if the authentication occurs when a
docker client command is executed against docker daemon to enforce authentication. The
native docker authentication plugin is just one method to enforce this control.","CIS Docker Community Edition Benchmark"
"Ensure centralized and remote logging is configured","2.12","Ensure centralized and remote logging is configured","","Level 2","","","Scoring: Scored

Docker now supports various log drivers. A preferable way to store logs is the one that
supports centralized and remote logging.

Default Value:
By default, container logs are maintained as json files","Centralized and remote logging ensures that all important log records are safe despite
catastrophic events. Docker now supports various such logging drivers. Use the one that
suits your environment the best.","None.","Step 1: Setup the desired log driver by following its documentation.
Step 2: Start the docker daemon with that logging driver.
For example,
dockerd --log-driver=syslog --log-opt syslog-address=tcp://192.xxx.xxx.xxx","Run docker info and ensure that the Logging Driverproperty set as appropriate.
docker info --format '{{ .LoggingDriver }}'
Alternatively, the below command would give you the --log-driver setting, if configured.
Ensure that it is set as appropriate.
ps -ef | grep dockerd","1. https://docs.docker.com/engine/admin/logging/overview/","CIS Docker Community Edition Benchmark"
